sample_id,frame,simulation_time,lap_id,ego_speed_kmh,ego_x,ego_y,ego_z,ego_roll,ego_pitch,ego_yaw,lidar_points,semantic_points,adaptive_25d_cells,terrain_cells,static_obstacle_cells,vehicle_cells,pedestrian_cells,road_cells,sidewalk_cells,min_resolution_m,max_resolution_m,front_vehicle,front_distance_m,front_speed_kmh,collision_count,scenario,depression_id,depression_center_m,depression_start_m,depression_end_m,distance_to_depression_m,inside_depression,weather,raw_lidar_file,semantic_lidar_file,adaptive_25d_file
1,197912,8.679,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,3627,6644,2626,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000001.npy,semantic_lidar\semantic_000001.npy,adaptive_2_5d\grid_000001.npz
2,197915,8.829,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,10655,19524,7648,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000002.npy,semantic_lidar\semantic_000002.npy,adaptive_2_5d\grid_000002.npz
3,197917,8.929,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,3714,6629,2631,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000003.npy,semantic_lidar\semantic_000003.npy,adaptive_2_5d\grid_000003.npz
4,197919,9.029,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,10674,19519,7651,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000004.npy,semantic_lidar\semantic_000004.npy,adaptive_2_5d\grid_000004.npz
5,197921,9.129,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,3667,6628,2602,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000005.npy,semantic_lidar\semantic_000005.npy,adaptive_2_5d\grid_000005.npz
6,197923,9.229,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,10832,19519,7684,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000006.npy,semantic_lidar\semantic_000006.npy,adaptive_2_5d\grid_000006.npz
7,197925,9.329,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,3694,6627,2603,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000007.npy,semantic_lidar\semantic_000007.npy,adaptive_2_5d\grid_000007.npz
8,197927,9.429,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,10690,19519,7588,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000008.npy,semantic_lidar\semantic_000008.npy,adaptive_2_5d\grid_000008.npz
9,197929,9.529,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,3700,6627,2617,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000009.npy,semantic_lidar\semantic_000009.npy,adaptive_2_5d\grid_000009.npz
10,197931,9.629,0,1.37,20.007,-1.8,0.002,-0.0,0.008,-0.0,10673,19519,7592,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.99,0,Daylight_No_Rain,raw_lidar\lidar_000010.npy,semantic_lidar\semantic_000010.npy,adaptive_2_5d\grid_000010.npz
11,197933,9.729,0,4.439,20.054,-1.8,0.001,-0.0,0.044,-0.0,3613,6627,2572,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.95,0,Daylight_No_Rain,raw_lidar\lidar_000011.npy,semantic_lidar\semantic_000011.npy,adaptive_2_5d\grid_000011.npz
12,197935,9.829,0,7.018,20.138,-1.8,0.001,-0.0,0.077,-0.0,10759,19519,7672,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.86,0,Daylight_No_Rain,raw_lidar\lidar_000012.npy,semantic_lidar\semantic_000012.npy,adaptive_2_5d\grid_000012.npz
13,197937,9.929,0,9.083,20.253,-1.8,0.001,-0.0,0.099,-0.0,3645,6627,2594,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.75,0,Daylight_No_Rain,raw_lidar\lidar_000013.npy,semantic_lidar\semantic_000013.npy,adaptive_2_5d\grid_000013.npz
14,197939,10.029,0,10.766,20.394,-1.8,0.001,-0.0,0.11,-0.0,10652,19519,7658,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.61,0,Daylight_No_Rain,raw_lidar\lidar_000014.npy,semantic_lidar\semantic_000014.npy,adaptive_2_5d\grid_000014.npz
15,197941,10.129,0,12.23,20.556,-1.8,0.001,-0.0,0.112,-0.0,3684,6627,2623,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.44,0,Daylight_No_Rain,raw_lidar\lidar_000015.npy,semantic_lidar\semantic_000015.npy,adaptive_2_5d\grid_000015.npz
16,197943,10.229,0,13.536,20.737,-1.8,0.001,-0.0,0.11,-0.0,10687,19519,7619,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.26,0,Daylight_No_Rain,raw_lidar\lidar_000016.npy,semantic_lidar\semantic_000016.npy,adaptive_2_5d\grid_000016.npz
17,197945,10.329,0,14.734,20.935,-1.8,0.001,-0.0,0.106,-0.0,3660,6627,2577,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.07,0,Daylight_No_Rain,raw_lidar\lidar_000017.npy,semantic_lidar\semantic_000017.npy,adaptive_2_5d\grid_000017.npz
18,197947,10.429,0,15.849,21.149,-1.8,0.001,-0.0,0.101,-0.0,10760,19519,7670,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1178.85,0,Daylight_No_Rain,raw_lidar\lidar_000018.npy,semantic_lidar\semantic_000018.npy,adaptive_2_5d\grid_000018.npz
19,197949,10.529,0,16.898,21.377,-1.8,0.001,-0.0,0.095,-0.001,3673,6627,2601,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1178.62,0,Daylight_No_Rain,raw_lidar\lidar_000019.npy,semantic_lidar\semantic_000019.npy,adaptive_2_5d\grid_000019.npz
20,197951,10.629,0,17.891,21.62,-1.8,0.001,-0.0,0.09,-0.001,10816,19516,7662,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1178.38,0,Daylight_No_Rain,raw_lidar\lidar_000020.npy,semantic_lidar\semantic_000020.npy,adaptive_2_5d\grid_000020.npz
21,197953,10.729,0,18.833,21.877,-1.8,0.001,-0.0,0.084,-0.001,3609,6618,2577,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1178.12,0,Daylight_No_Rain,raw_lidar\lidar_000021.npy,semantic_lidar\semantic_000021.npy,adaptive_2_5d\grid_000021.npz
22,197955,10.829,0,19.149,22.143,-1.8,0.002,-0.0,0.076,-0.001,10662,19525,7668,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1177.86,0,Daylight_No_Rain,raw_lidar\lidar_000022.npy,semantic_lidar\semantic_000022.npy,adaptive_2_5d\grid_000022.npz
23,197957,10.929,0,19.426,22.411,-1.8,0.002,-0.0,0.062,-0.001,3649,6645,2593,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1177.59,0,Daylight_No_Rain,raw_lidar\lidar_000023.npy,semantic_lidar\semantic_000023.npy,adaptive_2_5d\grid_000023.npz
24,197959,11.029,0,19.687,22.683,-1.8,0.002,-0.0,0.051,-0.001,10806,19570,7733,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1177.32,0,Daylight_No_Rain,raw_lidar\lidar_000024.npy,semantic_lidar\semantic_000024.npy,adaptive_2_5d\grid_000024.npz
25,197961,11.129,0,20.249,22.961,-1.8,0.002,-0.0,0.046,-0.001,3674,6648,2633,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1177.04,0,Daylight_No_Rain,raw_lidar\lidar_000025.npy,semantic_lidar\semantic_000025.npy,adaptive_2_5d\grid_000025.npz
26,197963,11.229,0,20.746,23.246,-1.8,0.002,-0.0,0.043,-0.001,10730,19563,7727,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1176.75,0,Daylight_No_Rain,raw_lidar\lidar_000026.npy,semantic_lidar\semantic_000026.npy,adaptive_2_5d\grid_000026.npz
27,197965,11.329,0,21.465,23.54,-1.8,0.002,-0.0,0.043,-0.001,3688,6652,2626,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1176.46,0,Daylight_No_Rain,raw_lidar\lidar_000027.npy,semantic_lidar\semantic_000027.npy,adaptive_2_5d\grid_000027.npz
28,197967,11.429,0,22.058,23.843,-1.8,0.002,-0.0,0.044,-0.001,10705,19650,7692,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1176.16,0,Daylight_No_Rain,raw_lidar\lidar_000028.npy,semantic_lidar\semantic_000028.npy,adaptive_2_5d\grid_000028.npz
29,197969,11.529,0,22.821,24.156,-1.8,0.002,-0.0,0.045,-0.001,3660,6683,2617,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1175.84,0,Daylight_No_Rain,raw_lidar\lidar_000029.npy,semantic_lidar\semantic_000029.npy,adaptive_2_5d\grid_000029.npz
30,197971,11.629,0,23.428,24.478,-1.8,0.002,-0.0,0.046,-0.001,10833,19649,7800,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1175.52,0,Daylight_No_Rain,raw_lidar\lidar_000030.npy,semantic_lidar\semantic_000030.npy,adaptive_2_5d\grid_000030.npz
31,197973,11.729,0,24.753,25.15,-1.8,0.002,-0.0,0.046,-0.001,3664,6680,2628,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1174.85,0,Daylight_No_Rain,raw_lidar\lidar_000031.npy,semantic_lidar\semantic_000031.npy,adaptive_2_5d\grid_000031.npz
32,197975,11.829,0,25.986,25.858,-1.8,0.002,-0.0,0.046,-0.001,10668,19683,7703,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1174.14,0,Daylight_No_Rain,raw_lidar\lidar_000032.npy,semantic_lidar\semantic_000032.npy,adaptive_2_5d\grid_000032.npz
33,197977,11.929,0,27.111,26.598,-1.8,0.002,-0.0,0.044,-0.001,3648,6706,2621,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1173.4,0,Daylight_No_Rain,raw_lidar\lidar_000033.npy,semantic_lidar\semantic_000033.npy,adaptive_2_5d\grid_000033.npz
34,197979,12.029,0,28.127,27.368,-1.8,0.002,-0.0,0.041,-0.001,10747,19709,7691,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1172.63,0,Daylight_No_Rain,raw_lidar\lidar_000034.npy,semantic_lidar\semantic_000034.npy,adaptive_2_5d\grid_000034.npz
35,197981,12.129,0,29.037,28.164,-1.8,0.002,-0.0,0.037,-0.001,3698,6707,2616,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1171.84,0,Daylight_No_Rain,raw_lidar\lidar_000035.npy,semantic_lidar\semantic_000035.npy,adaptive_2_5d\grid_000035.npz
36,197983,12.229,0,29.849,28.984,-1.8,0.002,-0.0,0.034,-0.001,10863,19708,7785,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1171.02,0,Daylight_No_Rain,raw_lidar\lidar_000036.npy,semantic_lidar\semantic_000036.npy,adaptive_2_5d\grid_000036.npz
37,197985,12.329,0,30.571,29.825,-1.8,0.002,-0.0,0.031,-0.001,3694,6727,2656,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1170.17,0,Daylight_No_Rain,raw_lidar\lidar_000037.npy,semantic_lidar\semantic_000037.npy,adaptive_2_5d\grid_000037.npz
38,197987,12.429,0,31.215,30.685,-1.8,0.002,-0.0,0.028,-0.001,10761,19759,7734,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1169.32,0,Daylight_No_Rain,raw_lidar\lidar_000038.npy,semantic_lidar\semantic_000038.npy,adaptive_2_5d\grid_000038.npz
39,197989,12.529,0,31.791,31.562,-1.8,0.002,-0.0,0.025,-0.001,3689,6723,2667,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1168.44,0,Daylight_No_Rain,raw_lidar\lidar_000039.npy,semantic_lidar\semantic_000039.npy,adaptive_2_5d\grid_000039.npz
40,197991,12.629,0,32.299,32.454,-1.8,0.002,-0.0,0.022,-0.001,10818,19757,7712,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1167.55,0,Daylight_No_Rain,raw_lidar\lidar_000040.npy,semantic_lidar\semantic_000040.npy,adaptive_2_5d\grid_000040.npz
41,197993,12.729,0,32.748,33.359,-1.8,0.002,-0.0,0.02,-0.001,3693,6723,2653,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1166.64,0,Daylight_No_Rain,raw_lidar\lidar_000041.npy,semantic_lidar\semantic_000041.npy,adaptive_2_5d\grid_000041.npz
42,197995,12.829,0,33.144,34.276,-1.8,0.002,-0.0,0.017,-0.001,10977,19773,7812,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1165.72,0,Daylight_No_Rain,raw_lidar\lidar_000042.npy,semantic_lidar\semantic_000042.npy,adaptive_2_5d\grid_000042.npz
43,197997,12.929,0,33.494,35.202,-1.8,0.002,-0.0,0.015,-0.001,3713,6742,2665,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1164.8,0,Daylight_No_Rain,raw_lidar\lidar_000043.npy,semantic_lidar\semantic_000043.npy,adaptive_2_5d\grid_000043.npz
44,197999,13.029,0,33.805,36.138,-1.8,0.002,-0.0,0.014,-0.001,10904,19800,7791,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1163.86,0,Daylight_No_Rain,raw_lidar\lidar_000044.npy,semantic_lidar\semantic_000044.npy,adaptive_2_5d\grid_000044.npz
45,198001,13.129,0,34.079,37.082,-1.8,0.002,-0.0,0.012,-0.001,3641,6742,2631,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1162.92,0,Daylight_No_Rain,raw_lidar\lidar_000045.npy,semantic_lidar\semantic_000045.npy,adaptive_2_5d\grid_000045.npz
46,198003,13.229,0,34.484,38.512,-1.8,0.002,-0.0,0.01,-0.001,10839,19801,7720,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1161.49,0,Daylight_No_Rain,raw_lidar\lidar_000046.npy,semantic_lidar\semantic_000046.npy,adaptive_2_5d\grid_000046.npz
47,198005,13.329,0,34.538,38.991,-1.8,0.002,-0.0,0.01,-0.001,3717,6743,2636,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1161.01,0,Daylight_No_Rain,raw_lidar\lidar_000047.npy,semantic_lidar\semantic_000047.npy,adaptive_2_5d\grid_000047.npz
48,198007,13.429,0,34.866,40.437,-1.8,0.002,-0.0,0.008,-0.001,10874,19800,7743,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1159.56,0,Daylight_No_Rain,raw_lidar\lidar_000048.npy,semantic_lidar\semantic_000048.npy,adaptive_2_5d\grid_000048.npz
49,198009,13.529,0,34.898,40.922,-1.8,0.002,-0.0,0.008,-0.001,3680,6744,2599,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1159.08,0,Daylight_No_Rain,raw_lidar\lidar_000049.npy,semantic_lidar\semantic_000049.npy,adaptive_2_5d\grid_000049.npz
50,198011,13.629,0,35.181,42.871,-1.8,0.002,-0.0,0.006,-0.001,10834,19837,7773,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1157.13,0,Daylight_No_Rain,raw_lidar\lidar_000050.npy,semantic_lidar\semantic_000050.npy,adaptive_2_5d\grid_000050.npz
51,198013,13.729,0,35.291,43.36,-1.8,0.002,-0.0,0.006,-0.001,3759,6757,2647,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1156.64,0,Daylight_No_Rain,raw_lidar\lidar_000051.npy,semantic_lidar\semantic_000051.npy,adaptive_2_5d\grid_000051.npz
52,198015,13.829,0,35.299,43.85,-1.801,0.002,-0.0,0.005,-0.001,10948,19839,7727,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1156.15,0,Daylight_No_Rain,raw_lidar\lidar_000052.npy,semantic_lidar\semantic_000052.npy,adaptive_2_5d\grid_000052.npz
53,198017,13.929,0,35.404,44.833,-1.801,0.002,-0.0,0.005,-0.001,3735,6758,2669,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1155.17,0,Daylight_No_Rain,raw_lidar\lidar_000053.npy,semantic_lidar\semantic_000053.npy,adaptive_2_5d\grid_000053.npz
54,198019,14.029,0,35.496,45.819,-1.801,0.002,-0.0,0.004,-0.001,10867,19840,7760,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1154.18,0,Daylight_No_Rain,raw_lidar\lidar_000054.npy,semantic_lidar\semantic_000054.npy,adaptive_2_5d\grid_000054.npz
55,198021,14.129,0,35.579,46.807,-1.801,0.002,-0.0,0.004,-0.001,3708,6760,2674,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1153.19,0,Daylight_No_Rain,raw_lidar\lidar_000055.npy,semantic_lidar\semantic_000055.npy,adaptive_2_5d\grid_000055.npz
56,198023,14.229,0,35.652,47.797,-1.801,0.002,-0.0,0.003,-0.001,10886,19840,7726,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1152.2,0,Daylight_No_Rain,raw_lidar\lidar_000056.npy,semantic_lidar\semantic_000056.npy,adaptive_2_5d\grid_000056.npz
57,198025,14.329,0,35.717,48.789,-1.801,0.002,-0.0,0.003,-0.001,3739,6760,2650,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1151.21,0,Daylight_No_Rain,raw_lidar\lidar_000057.npy,semantic_lidar\semantic_000057.npy,adaptive_2_5d\grid_000057.npz
58,198027,14.429,0,35.774,49.783,-1.801,0.002,-0.0,0.003,-0.001,11009,19840,7845,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1150.22,0,Daylight_No_Rain,raw_lidar\lidar_000058.npy,semantic_lidar\semantic_000058.npy,adaptive_2_5d\grid_000058.npz
59,198029,14.529,0,35.826,50.778,-1.801,0.002,-0.0,0.002,-0.001,3763,6762,2679,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1149.22,0,Daylight_No_Rain,raw_lidar\lidar_000059.npy,semantic_lidar\semantic_000059.npy,adaptive_2_5d\grid_000059.npz
60,198031,14.629,0,35.939,52.273,-1.801,0.002,-0.0,0.002,-0.001,11052,19869,7810,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1147.73,0,Daylight_No_Rain,raw_lidar\lidar_000060.npy,semantic_lidar\semantic_000060.npy,adaptive_2_5d\grid_000060.npz
61,198033,14.729,0,35.977,53.271,-1.801,0.002,-0.0,0.002,-0.001,3703,6773,2616,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1146.73,0,Daylight_No_Rain,raw_lidar\lidar_000061.npy,semantic_lidar\semantic_000061.npy,adaptive_2_5d\grid_000061.npz
62,198035,14.829,0,35.979,54.77,-1.801,0.002,-0.0,0.002,-0.001,10928,19869,7794,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1145.23,0,Daylight_No_Rain,raw_lidar\lidar_000062.npy,semantic_lidar\semantic_000062.npy,adaptive_2_5d\grid_000062.npz
63,198037,14.929,0,36.041,55.271,-1.801,0.002,-0.0,0.002,-0.001,3749,6773,2656,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1144.73,0,Daylight_No_Rain,raw_lidar\lidar_000063.npy,semantic_lidar\semantic_000063.npy,adaptive_2_5d\grid_000063.npz
64,198039,15.029,0,36.067,56.272,-1.801,0.002,-0.0,0.001,-0.001,10789,19869,7719,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1143.73,0,Daylight_No_Rain,raw_lidar\lidar_000064.npy,semantic_lidar\semantic_000064.npy,adaptive_2_5d\grid_000064.npz
65,198041,15.129,0,36.032,56.772,-1.801,0.002,-0.0,0.001,-0.001,3792,6775,2637,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1143.23,0,Daylight_No_Rain,raw_lidar\lidar_000065.npy,semantic_lidar\semantic_000065.npy,adaptive_2_5d\grid_000065.npz
66,198043,15.229,0,36.054,57.774,-1.801,0.002,-0.0,0.001,-0.001,10986,19869,7806,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1142.23,0,Daylight_No_Rain,raw_lidar\lidar_000066.npy,semantic_lidar\semantic_000066.npy,adaptive_2_5d\grid_000066.npz
67,198045,15.329,0,36.074,58.777,-1.801,0.002,-0.0,0.001,-0.001,3672,6773,2646,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1141.22,0,Daylight_No_Rain,raw_lidar\lidar_000067.npy,semantic_lidar\semantic_000067.npy,adaptive_2_5d\grid_000067.npz
68,198047,15.429,0,36.146,60.281,-1.801,0.002,-0.0,0.001,-0.001,10790,19869,7791,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1139.72,0,Daylight_No_Rain,raw_lidar\lidar_000068.npy,semantic_lidar\semantic_000068.npy,adaptive_2_5d\grid_000068.npz
69,198049,15.529,0,36.16,61.285,-1.801,0.002,-0.0,0.001,-0.001,3763,6774,2645,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1138.71,0,Daylight_No_Rain,raw_lidar\lidar_000069.npy,semantic_lidar\semantic_000069.npy,adaptive_2_5d\grid_000069.npz
70,198051,15.629,0,36.132,62.791,-1.801,0.002,-0.0,0.001,-0.001,10938,19869,7757,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1137.21,0,Daylight_No_Rain,raw_lidar\lidar_000070.npy,semantic_lidar\semantic_000070.npy,adaptive_2_5d\grid_000070.npz
71,198053,15.729,0,36.185,63.293,-1.801,0.002,-0.0,0.001,-0.001,3765,6774,2675,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1136.71,0,Daylight_No_Rain,raw_lidar\lidar_000071.npy,semantic_lidar\semantic_000071.npy,adaptive_2_5d\grid_000071.npz
